id,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm)
926,27.8,6.2,6.6,44
927,28.4,4.5,6.5,77
928,28.8,4,7,19279
929,28.8,7,7.4,69
930,25.9,6.5,6.8,58
931,28,4.6,6.9,98
932,28.5,6.6,7.3,12327
933,28.8,7.1,7,51
934,27.6,6.2,7.5,371
935,27.6,6.2,7.7,316
936,28.3,7.3,7.1,241
937,27.5,7.7,7.4,121
938,30.5,6.5,7.3,64
939,29.5,6.9,7.4,57
940,22.3,7.5,8,211
941,22.3,7.2,8,263
942,25,7,7.6,111
943,25.9,7.5,7.9,205
944,25.9,7.1,7.7,283
945,24.8,7.4,8,263
946,27.5,8.1,8,300
947,28,7.8,8,13103
948,25,7.4,8,207
949,25.8,7.2,8,198
950,26.8,6.5,8.1,729
951,31,3,8.1,1086
952,32,6.9,8.2,10910
953,31,6,8,17990
954,28,4.8,7.7,48500
955,28.4,6.3,7.6,830
956,24,7.4,7.6,104
957,NAN,6.9,7.8,440
958,24.8,5.8,7.2,732
959,24,5.6,7.4,1322
960,25,5.4,7.3,809
961,23.3,5.7,7.3,1103
962,25.8,5.7,7.5,906
963,25.8,3.5,7.4,1064
964,25.8,3.2,7.6,1197
965,26,4.7,7.3,1383
966,26,4.8,7.4,1063
967,24.4,5.3,7.5,1532
968,23.4,5.6,7.5,1269
969,24.3,5.4,7.4,1194
970,17.7,6.1,6.8,780
971,17,6.1,6.8,773
972,17.3,6,7,820
973,28,4.8,7.9,650
974,32,5,7.3,390
975,21.4,8.3,7.6,334
976,22.3,8.2,7.7,316
977,18.3,3.1,7.8,1261
978,22.8,8.3,7.6,304
979,21.8,5.5,7.6,743
980,26.9,5.1,7.8,657
981,27.3,5.3,7.8,623
982,19,8.7,7.1,252
983,26,5.1,7.2,17
984,19,10,7.4,157
985,21.8,5.9,7,164
986,22.3,6.1,7.3,141
987,22.3,5.6,7.1,427
988,22.3,4.7,7,527
989,23,5.5,8.6,116
990,23,6.8,6.8,160
991,23,7,7.4,47
992,23,7.3,7.8,116
993,22,5.5,7.3,179
994,22.3,4.7,7.4,220
995,27,4.9,7,180
996,30,5.8,7.8,367
997,23,5.8,7.4,249
998,23,6.2,6.9,182
999,22.7,5.5,7.7,356
1000,23,5.1,6.9,190
1001,23.5,5.2,7.1,164
1002,23,4.6,7,188
1003,23.5,5.6,6.6,165
1004,23,1.9,6.8,484
1005,23,2.5,7.1,424
1006,22.5,5.5,6.9,118
1007,23,6,7,100
1008,22.5,4.9,6.9,93
1009,20,4.8,7,167.1
1010,22.7,5.4,7.2,211
1011,26,6,7.5,231
1012,19,5.6,7.1,319
1013,22.5,5.7,6.9,261
1014,18.9,9.9,7.1,163
1015,21,6.1,7.6,163
1016,22.5,5.1,6.9,170
1017,23,3.8,7,192
1018,24.4,7.8,7.2,139
1019,21.8,6.5,3.1,489
1020,20.8,7.3,7,162
1021,25.2,7.8,7.1,136
1022,24,7.7,7.1,205
1023,23.4,8.1,7.1,267
1024,23.4,8,7,278
1025,23.2,6.9,7.2,268
1026,23.3,6.8,7.1,286
1027,28.4,6.6,7.8,149
1028,28.6,6.3,8,164
1029,28.5,6.6,7.9,196
1030,29.9,5.6,7.5,15608
1031,29.9,3.7,7.5,39503
1032,29.8,4.7,7.6,46170
1033,30.2,5.8,7.8,378
1034,29.7,6.6,7.7,489
1035,30.1,6.6,7.4,492
1036,30.3,6.2,7.8,359
1037,29.8,5.8,7.7,8757
1038,26,5.1,8.1,533
1039,27,7.1,8,555
1040,27,6.8,8.2,26600
1041,29.3,8.1,7.6,938
1042,28.4,6.2,7.8,7778
1043,32,NAN,7.2,1440
1044,28.3,3.2,7.7,885
1045,29.3,6.6,6.5,58
1046,28.8,6.6,6.6,145
1047,29,6.3,6.6,55
1048,28.8,6.4,6.4,188
1049,27.3,6.9,6.2,61
1050,28.3,7.2,6.1,62
1051,29,6.9,6.6,154
1052,27.6,7,6.3,742
1053,28.8,7.6,6.2,62
1054,28.3,7.1,6.2,69
1055,27.8,6.8,6,93
1056,28.5,7.1,6.2,89
1057,28.1,6.3,6.2,110
1058,29,6.2,7,77
1059,29.5,6.2,6.8,67
1060,30.2,6.9,6.5,62
1061,28.3,6.7,6.2,62
1062,28.7,6.8,7.9,119
1063,26,7,7.7,88
1064,NAN,6.9,7.3,70
1065,NAN,7.4,7.2,77
1066,24,7,7.4,3113
1067,32.1,5.5,8.1,363
1068,30.3,6.9,7.5,86
1069,30.1,6.4,7.4,621
1070,28.8,5.2,7.9,42354
1071,28.7,6.9,7.4,73
1072,29,3.4,7.4,17842
1073,28.5,7.4,8.1,254
1074,27.7,6.7,7.4,125
1075,28.6,6.6,7.5,129
1076,27.1,6.1,7.3,515
1077,27.1,6.6,7.4,122
1078,27,6.5,7.3,131
1079,26.8,6.7,7.3,130
1080,26.8,6.6,7.4,95
1081,26.4,6.8,7.7,143
1082,22.1,6.3,7.5,10825
1083,22.3,7.1,7.4,185
1084,22,6.7,7.5,1439
1085,22,6.6,7.5,185
1086,22,6.7,7.8,3521
1087,28.2,7.1,7.7,193
1088,28.2,7.1,7.9,175
1089,28.3,7.1,7.8,174
1090,NAN,7.2,7.5,308
1091,26.3,6.4,7.7,153
1092,26.1,7,7.7,111
1093,26,6.6,7.6,209
1094,NAN,7.5,8.2,296
1095,27.6,6.9,7.5,119
1096,27.6,6.8,7.7,116
1097,27.3,7,7.7,118
1098,27.4,5.2,6.6,453
1099,27.3,7.2,6.8,35
1100,26,7,7.1,62
1101,26.2,7,7.1,5228
1102,27.5,7.2,7,51
1103,28.1,6.7,6.9,62
1104,28.2,6.5,6.5,118
1105,27.6,0.6,7,1787
1106,28,6.6,6.8,49
1107,24.3,6.8,7.3,67
1108,25.8,7.3,7.4,104
1109,27.8,6.5,6.7,39
1110,26.3,7.2,6.5,45
1111,28.5,7.4,6.9,65
1112,29.3,6.5,6.5,60
1113,27.6,6.6,6.9,57
1114,28.1,7.1,7,84
1115,27.8,7.5,6.8,56
1116,28.1,5.4,6.7,100
1117,26.6,7,6.9,66
1118,27.8,7.1,6.9,75
1119,29.3,6.5,6.7,70
1120,28,6.7,6.6,102
1121,23.8,7.1,6.8,27
1122,26.3,6.9,7.1,46
1123,27.9,6.7,6.8,8291
1124,28.4,6.2,7,12342
1125,27.1,7.5,7.3,53
1126,28.5,7.6,7.3,62
1127,28.1,2.2,6.4,625
1128,26.4,7.4,6.7,55
1129,27.1,7,6.8,103
1130,26.9,5.3,6.9,109
1131,28.6,6.3,7,1392
1132,27.9,6.7,7,71
1133,28.4,6,6.4,57
1134,29,4.2,6.6,93
1135,28.8,5.1,6.7,88
1136,27.8,5.3,6.4,4912
1137,28.5,6.9,7,84
1138,26,2.8,7.4,18256
1139,26.5,5.3,7.2,9753
1140,28.4,6.5,5.8,67
1141,28.1,6.9,6.1,86
1142,26.8,7,6.6,59
1143,28.6,5.6,6.4,7904
1144,28.1,6.8,6,55
1145,29,6,5.9,105
1146,28.8,6.3,7,2759
1147,28,6.5,7.6,312
1148,27.4,6.4,7.7,203
1149,28.8,7.3,7.3,308
1150,30.8,6.8,7.8,23761
1151,28,7.5,8.1,228
1152,27.3,7.7,8.1,243
1153,29,7.6,7.9,191
1154,24.5,7.5,7.9,237
1155,24.8,7.4,7.7,865
1156,25.3,6.7,6.9,132
1157,26.8,7.1,7.9,211
1158,29,6.7,7.9,182
1159,29,7.4,8.8,434
1160,28,6.4,8.3,565
1161,28,6.9,8.8,238
1162,28,6.3,6.6,425
1163,24.8,7.4,7,75
1164,27.2,7.2,6.8,70
1165,27.3,6.6,7,119
1166,28.4,6.9,7,236
1167,26.8,7,6.9,73
1168,25.2,7.2,6.9,75
1169,28.4,6.9,7.2,385
1170,28.2,6.4,7.6,860
1171,24,7.6,6.6,166
1172,29,6.9,7.2,308
1173,25,6.8,6.7,247
1174,25,6.6,6.9,359
1175,15,6.5,7.6,450
1176,23.5,6.1,7.8,825
1177,NAN,6.5,8.4,240
1178,15,6.9,7.8,480
1179,20.3,5.6,6.7,807
1180,20,4.9,6.8,1097
1181,20,4.9,6.6,834
1182,19.8,5.2,6.7,1027
1183,32.7,3.3,7.9,897
1184,34.5,4.9,8,510
1185,19.8,5,6.9,1172
1186,27,4.8,7.8,599
1187,20.5,4.7,6.7,906
1188,20.5,5.4,6.8,883
1189,20.5,5.1,7.6,1069
1190,21,4.2,7.6,1168
1191,20.3,4.8,6.6,905
1192,20,4.5,6.6,1269
1193,20,4.7,6.7,1216
1194,21.3,5.2,7.3,465
1195,22.1,7.8,8.2,410
1196,22.33,6.7,8.12,396
1197,21.5,8,8.1,403
1198,24,4.88,7.94,149
1199,22,5.67,7.02,153
1200,24,6,6.9,300
1201,23,6.15,7.45,234
1202,23,2.7,7.35,357
1203,24,2.98,7.52,422
1204,24,5.48,7.42,180
1205,23,5.13,7.46,162
1206,25,7.85,7.13,254
1207,24,6.58,6.5,655
1208,20,7.58,7.03,191
1209,24,8.23,7.05,137
1210,25,8.23,7.38,143
1211,22,6.6,7.3,210
1212,22,6.8,7.2,220
1213,23,6.8,7,317
1214,23,6.4,6.7,323
1215,28,6.5,7.7,146
1216,28,6.2,7.7,176
1217,29,6.3,8,198
1218,28,7.3,7.4,332
1219,29,6.5,7.5,21417
1220,30,6.1,7.3,11855
1221,30,6.3,7.4,24506
1222,30,5.9,7.5,25343
1223,30,6.6,7.8,371
1224,30,6.2,7.4,368
1225,30,6.7,7.7,354
1226,33,6.8,8,374
1227,30,5.9,7.4,7173
1228,28,7.3,7.4,332
1229,30,5.7,8,601
1230,30,4.7,8.3,753
1231,28,5.8,7.8,16177
1232,30,2.5,7.5,1108
1233,30,6.1,8.1,14921
1234,30,0.6,7.1,3115
1235,27,3.2,7.8,5073
1236,30,4.2,8.2,901
1237,28,2.9,8.3,11405
1238,29,5,7.7,47156
1239,31,7.2,6.3,14100
1240,29,5.5,7.8,401
1241,30,6.2,6.9,11000
1242,29,6.5,6.8,30190
1243,24,8.1,7.7,7400
1244,27,7.8,6.4,609
1245,27,7.8,6.4,90
1246,28,7.2,6.5,8240
1247,27,4.2,7.6,5543
1248,26,6.5,6.4,505
1249,28,7.4,6.9,3844
1250,28,5.4,7,7692
1251,27,6.6,7.2,692
1252,29,5.1,7.5,NAN
1253,29,7.3,6.8,20640
1254,28,7.2,6.9,5350
1255,28,7,6.8,4800
1256,28,5.5,7.7,8092
1257,29,6.9,7.6,136
1258,29,6.9,7.7,120
1259,28,6.7,8,111
1260,26,6.9,7.3,229
1261,29,6.8,7.5,171
1262,29,6.9,7.3,183
1263,34,3.3,7.6,29464
1264,32,5.4,7.2,925
1265,22,6.2,7.2,13848
1266,26,7,7.4,225
1267,35,6.6,8.1,102
1268,28,8.1,6.3,1414
1269,27,6.9,6.8,41
1270,27,6.9,6.9,78
1271,26,6.7,6.9,5507
1272,27,7.3,7,49
1273,28,6.7,6.7,67
1274,29,6.5,6.6,109
1275,26,0.7,6.6,4235
1276,27,6.9,6.5,108
1277,28,6.4,6.6,48
1278,26,7.2,6.7,109
1279,29,6.8,7.1,61
1280,28,6.1,6.7,244
1281,27,6.8,7,62
1282,28,7.1,7,59
1283,27,7.4,6.6,64
1284,26,6.4,7,79
1285,26,7.2,6.7,73
1286,27,6.2,7,83
1287,29,6.1,6.7,55
1288,28,6.6,6.5,79
1289,26,6.9,6.7,198
1290,27,7.3,6.5,44
1291,28,6.2,6.6,15738
1292,29,5.2,7.1,18459
1293,28,7.4,7,45
1294,28,7.6,6.7,52
1295,28,2.9,6.3,841
1296,26,6.6,6.7,72
1297,26,6.4,6.7,122
1298,26,5.4,6.6,102
1299,27,6.2,7,5656
1300,27,6.9,7.1,71
1301,28,6.7,6.5,55
1302,28,5.7,6.7,127
1303,28,6,6.9,77
1304,28,5.2,6.1,4968
1305,28,7.4,6.4,78
1306,27,3.5,7.3,20430
1307,27,6,7.1,13257
1308,28,6.4,6.1,62
1309,27,6.6,6.3,59
1310,27,7.1,6.4,59
1311,28,6.4,7.1,7035
1312,28,7.3,6.2,51
1313,29,6.8,6.5,80
1314,28,6.4,6.7,3131
1315,27,5.8,6.5,59
1316,28,5.2,7.2,19885
1317,27,7.7,6.8,67
1318,28,5.7,7.2,19085
1319,25,6.7,6.3,177
1320,28,6.4,6.4,4165
1321,27,6.2,7.6,498
1322,27,6.8,7.5,119
1323,27,7.1,7.6,161
1324,28,5.9,6.7,70
1325,28,5.8,6.5,864
1326,29,4.7,6.6,69
1327,28,6.5,6.6,1204
1328,28,1.4,6.2,129
1329,28,1.5,6.3,73
1330,28,7,7.5,226
1331,30,7.7,8.1,330
1332,30,7.5,7.9,20786
1333,28,7.2,8.2,315
1334,28,7.6,8.1,301
1335,28,7.3,8,225
1336,27,7.4,8,238
1337,27,7.2,7.7,835
1338,29,7.2,7.8,169
1339,28,7,8.1,240
1340,29,7.4,8.1,153
1341,33,7.7,7.8,220
1342,33,7.1,7.6,406
1343,33,6.8,7.4,309
1344,28,5.1,8.4,4120
1345,21,7.6,7.9,446
1346,24,7.4,6.8,337
1347,28,7.5,6.7,180
1348,28,6.9,6.8,127
1349,30,7,7,305
1350,27,7.2,6.7,323
1351,26,7.4,6.7,364
1352,29,7.5,7.2,473
1353,26,6.7,7.4,544
1354,27,7,7.2,286
1355,28,6.4,7,307
1356,29,6.6,7.1,250
1357,28,6.5,7.9,566
1358,22,6,7.3,755
1359,21,4.9,7.4,892
1360,22,6.4,7.1,1085
1361,20,5.6,8.1,905
1362,22,5,6.7,813
1363,21,5.6,7.3,964
1364,20,5.7,7.4,968
1365,21,5.3,7.4,779
1366,21,4.8,7.4,825
1367,23,2.9,7.3,1035
1368,21,4.5,7.2,885
1369,20,4.8,7.5,896
1370,24,3.1,7.6,1130
1371,25,3.1,7.6,1000
1372,28,1.9,8.4,2187
1373,28,7,7.8,350
1374,16,7.2,6.2,930
1375,22,5.475,7.82,721.5
1376,23,4.8,7.3,260
1377,23,7.6,7.5,307
1378,23,8.4,7.4,106
1379,23,9,7.8,221
1380,25,8.7,7.4,318
1381,25,1.9,7.3,537
1382,25,7.7,7.3,550
1383,25,7.9,7.6,185
1384,26,8,7.6,202
1385,25,7.4,7.6,214
1386,23,8.3,7.7,185
1387,18,9.6,7.1,225
1388,19,8.8,7.2,131
1389,24,7.4,7.8,272
1390,24,7.5,7.8,327
1391,26,8.1,7.8,365
1392,26,7.9,7.5,350
1393,28,6.6,7.7,143
1394,29,6.3,7.6,164
1395,28,5.7,7.8,170
1396,21,6.4,7.025,187.63
1397,25,8.35,7.125,110.75
1398,24,8.45,6.95,104.25
1399,NAN,NAN,7.6,281
1400,25,7.2,7.8,262
1401,25,4.9,7.4,10362
1402,27,5.1,7.8,530
1403,28,6,8.2,612
1404,30,6.1,8.1,8782
1405,27,1.1,7.8,1076
1406,29,6.8,8,3431
1407,25,4.5,7.6,1161
1408,25,6,7.3,8838
1409,30,0,7.1,3080
1410,28,2.8,7.9,663
1411,29,5.6,8,1265
1412,28,4.1,7.9,4491
1413,29,6.3,7.9,43983
1414,30,6.6,7.8,37
1415,28,6.8,7.1,11
1416,27,6.5,7.5,28
1417,28,7.1,8,49
1418,26,7.6,7.3,93
1419,26,7.4,7,67
1420,27,7,7.3,89
1421,29,5.4,7.3,75
1422,28,6.7,7.2,95
1423,28,6.8,6.9,58
1424,25,5.6,6.8,67
1425,28,5.2,7.2,29
1426,26,6.2,7.1,146
1427,31,3.6,7,29
1428,30,6.8,7.2,1370
1429,28,8.1,7.1,335
1430,26,6.3,7.6,119
1431,27,6.4,7.6,109
1432,27,5.9,7.2,119
1433,25,5.3,7.7,109
1434,26,6,7.8,301
1435,22,6.6,7.2,131
1436,22,6.8,7.2,110
1437,27,6.7,7.6,109
1438,29,5.2,7,478
1439,21,6.9,6.6,291
1440,32,0.7,7.3,12697
1441,23,6.8,6.6,6232
1442,29,6.2,6.5,1638
1443,28,7.3,6.6,36
1444,28,6.4,6.7,41
1445,28,5.1,6.8,52
1446,28,6.8,6.7,183
1447,27,6.3,6.3,115
1448,28,7.2,6.7,455
1449,27,6.8,6.9,80
1450,27,6.8,7,4515
1451,29,7.7,7.2,47
1452,29,7.1,6.8,57
1453,29,6.6,6.3,148
1454,26,1.8,6.8,2012
1455,26,6.7,6.2,40
1456,26,5.8,6.3,65
1457,26,5.1,6.3,50
1458,26,6.6,6.2,42
1459,27,6.6,6.4,43
1460,27,6.7,6.4,50
1461,26,6.6,6.3,46
1462,27,5.9,6.4,54
1463,27,7.6,6.7,55
1464,27,6.5,6.7,72
1465,29,7.3,7.4,71
1466,27,6.3,6.7,79
1467,26,6.9,6.6,33
1468,27,6.8,6.7,46
1469,29,5.9,7.1,6666
1470,28,6.4,7.1,17771
1471,28,7.3,6.7,62
1472,28,7.6,6.6,61
1473,30,2.4,6.7,221
1474,27,7.1,6.8,89
1475,27,6.4,6.7,110
1476,27,3.5,6.9,105
1477,28,7.4,7.3,155
1478,28,6.8,6.9,77
1479,27,5.5,6.5,75
1480,31,5.4,6.5,102
1481,30,4.8,6.8,90
1482,28,5.8,6.3,87
1483,27,7.3,6.6,57
1484,28,5.8,7.5,18291
1485,28,6.2,6.7,2497
1486,27,7.3,6.1,45
1487,27,7.6,6.3,39
1488,25,7.7,6.6,31
1489,28,5.4,5.9,595
1490,28,7.4,6.1,30
1491,28,6.6,5.9,37
1492,28,6.5,6.5,1135
1493,27,7.2,5.9,39
1494,29,6.3,6.5,925
1495,27,7.6,6.6,50
1496,27,7.3,6.5,64
1497,27,7.5,7,74
1498,26,4.4,7.3,428
1499,27,6.8,7,169
1500,29,1.7,6.2,181
1501,29,3,6.1,80
1502,28,6.9,7.8,469
1503,32,7.7,8.1,266
1504,32,6.8,7.8,16468
1505,28,7.5,8.2,233
1506,26,7.6,8.1,233
1507,26,7,7.6,593
1508,25,7.6,6.6,118
1509,27,6.8,6.6,179
1510,28,6.8,6.7,172
1511,28,6.9,7.1,260
1512,27,7.3,6.6,94
1513,26,7.4,6.7,88
1514,28,7.2,7.2,439
1515,27,6.8,7.6,749
1516,26,6.9,7.3,252
1517,29,7,7.3,46
1518,31,7,7.3,40
1519,30,7.7,8.1,195
1520,23,8,8.2,572
1521,24,3.8,7.8,1424
1522,23,4.9,7.8,704
1523,20,5.9,7.2,703
1524,21,5.3,7.4,1095
1525,30,6.7,6.9,1094
1526,30,6.2,7,1312
1527,21,5.7,7.3,732
1528,21,5,7.2,983
1529,20,5,7.3,748
1530,20,5.1,7.2,760
1531,21,4.5,7.2,856
1532,21,4.4,7.2,1184
1533,20,4.5,7.4,1186
1534,21,5.2,7.5,1036
1535,21,5.5,7.6,973
1536,21,5.6,7.6,951
1537,25,6.4,7.9,378
1538,31,6.8,7,970
1539,21,5.4,7.8,438
1540,27,7.9,6.7,120
1541,26,6.2,7.3,135
1542,27,8.2,7.6,176
1543,28,6.6,7.4,112
1544,26,7.9,7.8,196
1545,29,9,8,269
1546,28,NAN,8,698
1547,30,9.6,7.6,633
1548,27,3.2,6.8,389
1549,28,5.5,7.5,375
1550,19,5,3.2,630
1551,26,7,7.8,122
1552,26,7.2,7.8,130
1553,25,6.6,8,151
1554,25,6.7,7.9,188
1555,28,6.1,7.7,120
1556,29,5.4,7.3,141
1557,28,5.8,7.8,161
1558,NAN,NAN,7.6,253
1559,25,7,7.7,448
1560,25,4.8,7.5,20360
1561,27,4.9,7.7,904
1562,28,6.4,8,477
1563,29,6.7,7.9,14111
1564,28,5.7,7.6,868
1565,30,6.2,8,899
1566,26,4.8,7.6,14426
1567,27,6.2,7.4,29920
1568,27,NAN,7.5,5414
1569,27,4.2,7.8,589
1570,30,6.8,7.5,2870
1571,29,6.5,6.9,1690
1572,29,6.5,7.1,3110
1573,29,6.4,7.7,44000
1574,27,7.2,7.2,70
1575,28,7.2,6.8,60
1576,28,7.4,7.1,80
1577,28,7.2,6.9,80
1578,29,7.4,7,66
1579,28,6.3,6.6,66
1580,26,6.4,7.3,103
1581,27,6.7,7.4,103
1582,28,6.6,7.5,97
1583,28,5.7,7.2,531
1584,25,6.4,7.1,113
1585,25,6.6,7.2,88
1586,22,6.2,7.3,117
1587,28,5.5,6.6,1314
1588,27,7.5,6.8,32
1589,28,6.7,6.8,42
1590,28,6.9,6.7,73
1591,28,6.8,6.9,7920
1592,29,7.4,7.2,49
1593,28,7.2,6.8,58
1594,29,6.8,6.6,115
1595,28,0.8,6.8,2156
1596,26,7.1,6.1,34
1597,26,5.9,6.2,52
1598,26,5.1,6.2,55
1599,26,6.7,6.2,43
1600,26,5.8,6.2,34
1601,26,6.4,6.2,39
1602,26,6.6,6.3,41
1603,26,5.4,6.2,47
1604,28,6.7,6.7,80
1605,27,6.4,7,112
1606,29,6.3,7.1,83
1607,28,6.2,6.5,95
1608,28,6.9,6.4,41
1609,27,6.8,6.5,51
1610,28,6.6,6.9,11654
1611,28,7,7.2,11962
1612,28,7.5,6.9,52
1613,28,7.4,6.8,68
1614,29,2.8,6.6,1239
1615,28,6.2,7.6,380
1616,30,7.9,7.9,382
1617,28,8.1,8,21030
1618,30,7.2,7.7,244
1619,32,6.7,7.6,231
1620,29,7,8.1,637
1621,26,7.5,6.5,65
1622,28,6.8,6.5,88
1623,29,6.8,6.5,128
1624,32,7.8,7.2,250
1625,28,7.2,6.4,71
1626,27,7.4,6.5,71
1627,31,7.6,7.1,428
1628,28,6.8,7.2,856
1629,27,7.3,7.3,152
1630,28,6.9,7.2,58
1631,29,7,7.2,56
1632,22,7.9,7.9,385
1633,18,3.9,7.9,2422
1634,24,4.9,7.6,972
1635,20,7.4,7.5,413
1636,21,6.1,7.8,632
1637,24,4.9,8.1,852
1638,26,4.5,8.3,996
1639,21,6.7,7.6,425
1640,21,6.3,7.7,619
1641,22,6.4,7.7,439
1642,22,6.5,7.7,686
1643,21,6.4,7.8,754
1644,22,6.3,7.7,615
1645,21,6.2,7.6,457
1646,21,6,7.8,690
1647,21,5.9,7.8,692
1648,21,5.9,7.7,699
1649,22,6.5,8.2,1315
1650,25,6.6,8.2,895
1651,29,NAN,7.2,NAN
1652,30,NAN,7.4,NAN
1653,29,1,7.3,NAN
1654,19,5.6,7.4,168
1655,25,6.7,7.9,135
1656,25,6.5,7.9,195
1657,24,7.3,7.8,219
1658,24,7.7,7.9,227
1659,23,6.2,7,132
1660,23,6.4,7.4,137
1661,23,6.4,7.6,200
1662,23,7,7.6,210
1663,23,3.6,7.2,249
1664,23,3.7,7.5,224
1665,24,7.1,7.3,156
1666,23,7.1,7.2,127
1667,22,5.8,7.6,258
1668,24,8.4,7.9,383
1669,20,8.1,7.2,221
1670,18,6.1,3.1,738
1671,16,8,7,164
1672,19,5.4,7.2,153
1673,18,7,7,161
1674,27,5.2,7.4,120
1675,27,4.7,7.4,139
1676,27,5.4,7.4,128
1677,23,6.9,7.2,233
1678,NAN,NAN,7.61,168.2
1679,25,7.102,7.945,307.5
1680,25.5,3.487,7.015,25950
1681,22,5.35,7.935,735
1682,25.5,7.05,7.995,535
1683,29.667,6.5,8.14,16410
1684,25.5,NAN,7.885,896.5
1685,29,5.6,8.173,3660
1686,26.5,6.085,7.695,933
1687,26.5,6.055,7.605,6715
1688,28,NAN,7.215,15580
1689,27,7.93,8.32,2160
1690,25.667,4.9,7.943,504.7
1691,27.75,6.625,7.725,149.3
1692,27.75,5.175,6.95,464
1693,30,6.4,7.45,142.8
1694,28.25,6.2,7.9,218
1695,26.667,7.4,6.733,344.3
1696,28.75,7.6,6.775,213.3
1697,28,7.35,7.1,214.8
1698,28.25,7.675,6.875,103.3
1699,27.25,7.125,7.55,418.3
1700,28.5,7,6.725,497.3
1701,27.714,6.543,7.229,130.4
1702,28.714,6.7,7.307,121.5
1703,28.667,7.1,7.507,102.5
1704,26.667,6.333,7.277,542
1705,26.714,6.471,7.379,204.3
1706,28.286,6.371,7.061,214
1707,19.333,6.7,7.44,153.3
1708,29.083,6.2,6.457,881.1
1709,27.417,7.286,6.586,82.9
1710,27.286,6.525,6.5,124.1
1711,28.6,6.917,6.95,185.4
1712,28.667,6.8,7.043,8489.9
1713,27.786,7.075,7.25,107.3
1714,28.143,7.013,6.712,151.4
1715,27.5,6.787,6.65,119.3
1716,28.571,4.1,6.775,511.4
1717,27,6.9,6.8,224
1718,26.5,6.867,6.833,292.7
1719,26.25,6.467,6.6,240
1720,26.75,6.667,6.933,268
1721,26.75,6.967,6.933,268
1722,26.5,6.733,6.867,324
1723,27,6.714,6.957,143.4
1724,26.75,6.733,6.733,242.7
1725,28,7.233,6.867,75.7
1726,27,6.233,6.9,104.7
1727,28.5,6.867,7.067,336.7
1728,28.5,6.433,6.667,339.3
1729,29,7.033,6.533,141.3
1730,28.75,6.633,7.067,237
1731,28,6.833,7,18389
1732,29.5,6.333,7.167,24535.7
1733,28,7.033,7.033,241
1734,28.5,7,7.133,302
1735,29,3.5,6.567,1285.3
1736,28.857,6.243,7.253,405.6
1737,21,6.9,8.2,211
1738,24,7.8,8.5,197
1739,33,7.3,8.6,528
1740,27.5,7.95,6.565,188.5
1741,29,5.8,6.6,107
1742,31.25,6.975,6.725,144.3
1743,NAN,5.35,7.19,216.3
1744,30,7.525,6.61,93.3
1745,29,7.15,6.56,141
1746,NAN,4.325,7.045,547
1747,27.5,6.925,7.633,552
1748,27.25,6.825,7.125,299.3
1749,26.667,6.7,7.267,92.7
1750,26.333,6.75,7.3,169.3
1751,21.25,5.87,7.84,895.5
1752,17.667,6.033,7.367,323.3
1753,16.5,5.1,7.85,785
1754,18,4.867,7.367,568
1755,17.333,4.833,7.533,760
1756,17.5,5.1,7.367,388
1757,15,6.8,7.3,433.5
1758,17.5,4.2,7.367,758
1759,18,5.533,7.3,453.3
1760,17.5,5.2,7.3,391.3
1761,18,4.2,7.733,825.3
1762,18.333,4.033,7.667,855
1763,18.667,4.133,7.633,811.3
1764,18,5.35,7.55,682.5
1765,19,4.05,7.85,773.5
1766,17.5,6.25,7.9,770
1767,18.5,6.65,7.875,914.5
1768,19.5,7.2,9.01,340.5
1769,22,6.27,7.89,3638
1770,20,6.1,7.1,NAN
1771,26,0.6,7.3,646
1772,27,NAN,7.9,1151
1773,27,NAN,7.1,912
1774,16,7.2,7,183
1775,15,4.6,3,350
1776,10,8.8,7,172
1777,11,10,7.1,150
1778,12,9,7.3,158
1779,23.667,7.767,7.543,NAN
1780,23.7,7.167,8.143,NAN
1781,23.767,8.533,7.857,170
1782,23.667,8.867,7.793,216
1783,28,5.6,7.65,375.2
1784,NAN,NAN,7.76,233.3
1785,NAN,NAN,NAN,NAN
1786,NAN,NAN,NAN,NAN
1787,26,7.2,7.84,342.8
1788,27,5,7.22,18370.3
1789,29,6.2,8.11,480
1790,27,7.2,8.07,580
1791,28,6.2,7.98,11125
1792,28,3.9,7.92,1039
1793,29,7.2,7.42,246.9
1794,28,6.9,6.44,302.9
1795,29,7.8,6.69,255.9
1796,29,6.7,7.35,346.1
1797,28,8.3,6.68,348.9
1798,28,8.1,6.18,187.4
1799,29,7.7,6.55,121.8
1800,29,8.6,6.56,181.4
1801,28,7.7,6.45,302.5
1802,28,7.4,6.07,142.8
1803,NAN,7,8.16,4545
1804,NAN,5.9,7.36,761
1805,27,4.1,7.57,29369.3
1806,27,3.9,5.27,5914
1807,NAN,5.7,7.62,665
1808,NAN,6.1,8,602.5
1809,14,6.2,7.88,540.7
1810,19,6.3,8.05,634.3
1811,27,7.1,7.2,280.5
1812,28,7.4,7.27,253.3
1813,28,7.3,7.3,236.7
1814,NAN,5.9,6.6,1359.5
1815,NAN,7.4,6.68,39.3
1816,NAN,7.1,6.75,41.9
1817,NAN,6.8,6.92,70.8
1818,NAN,6.8,6.98,7179.1
1819,NAN,6.8,7.03,36.8
1820,NAN,7.2,6.76,59.8
