id,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm)
204,18.3,7.2,7.2,56
205,19.3,7.5,7.2,66
206,24,7.8,7,74
207,20.5,6.7,2.7,1350
208,21.2,7.3,6.6,274
209,26.3,7.4,7.3,67
210,25.5,7.2,7.4,82
211,20,7.3,7.1,55
212,20.3,7.3,7.1,57
213,19.4,6.6,7.1,114
214,21,7.3,5.6,56
215,19.2,5.1,7,105
216,18.3,7.3,7.1,51
217,19.6,7.7,7.2,50
218,23.7,7.6,7.3,115
219,18.2,6.2,7,81
220,18.8,7.2,7.1,66
221,18.9,7.4,7.1,57
222,25.1,7.5,7.4,144
223,18.8,7.1,7.1,63
224,20.2,7.3,7.2,65
225,20,7.3,7.3,65
226,18.5,1.5,6.9,345
227,18.8,3.9,7.1,233
228,18.3,1,7.2,376
229,18.5,0.9,7.2,506
230,18.2,7.2,7,66
231,22.1,7.7,7.2,62
232,17.6,7.3,6.9,61
233,18.7,1.2,7.1,380
234,18.7,3.2,7.1,258
235,23.1,7.2,7.2,124
236,22.6,7.2,7.1,65
237,20,7.5,7.3,64
238,19.9,7.6,7.3,65
239,24.5,7.1,7.3,269
240,24.4,7.2,7.3,275
241,23.6,6.9,7.1,186
242,23.5,6.8,7.1,201
243,27.3,6.2,7.8,165
244,29.1,6.4,7.8,158
245,26.6,6.6,7.9,210
246,NAN,NAN,0,208
247,27.1,7.3,7.9,693
248,27.3,5,7.6,1676
249,NAN,NAN,0,506
250,24.5,6,7.7,1863
251,NAN,NAN,NAN,24300
252,27.5,5.3,7.8,817
253,28.3,4.3,7.8,2307
254,28.4,4.5,8.3,1287
255,NAN,NAN,NAN,NAN
256,27.6,6.8,8.2,1862
257,NAN,5,8,NAN
258,NAN,3,7.7,NAN
259,27,6.7,8.1,2520
260,29,8.2,8.4,606
261,NAN,NAN,NAN,NAN
262,30,5.6,7.5,41
263,30.4,5.5,6.7,209
264,30.8,5.5,7.1,123
265,30.3,5.3,7.3,182
266,30.1,6,7.6,100
267,29.9,5.7,6.9,111
268,29.1,6.4,7.1,140
269,29.9,6.2,7.8,44
270,29.8,6.1,7.6,43
271,27.9,7,6.9,64
272,28.2,6.6,6.5,62
273,29.6,7,6.8,304
274,28.8,7,7,55
275,29.5,6.3,7.6,213
276,29.8,6.7,6.8,83
277,29.7,7.1,6.6,76
278,28.7,6.7,6.6,107
279,27.9,7.2,6.7,89
280,29.3,4.2,6.7,192
281,28.6,6.3,6.6,79
282,29.8,5.6,7.7,142
283,28.6,2.8,6.4,424
284,30.6,5.2,7.1,306
285,30.3,5.6,7.7,40
286,30.4,5.5,7.7,40
287,29.6,6.9,6.7,63
288,29.6,6.3,7.6,227
289,29.5,7.1,6.6,68
290,26.7,6.9,7.7,121
291,29.3,7.2,8.2,112
292,28,6.9,7.7,103
293,28.2,6.9,7.6,104
294,26.5,6.4,7.4,1003
295,20.7,6.3,8.3,408
296,27.2,6.7,7.8,105
297,27.5,6.3,7.6,209
298,26,5.9,7.6,13768
299,26.5,7.3,7.7,86
300,27,3.6,7.4,6487
301,27.3,6.3,8.3,999
302,28.7,7.2,7.7,125
303,28.4,7.1,7.5,127
304,28.7,7.1,7.4,5300
305,28.7,7.2,7.6,127
306,28.7,7,7.6,126
307,28.7,7.2,7.6,126
308,28.7,7.1,7.8,112
309,29.3,6.8,7.7,9590
310,28.3,6.8,7.4,174
311,28.7,6.8,7.6,2572
312,29.2,6.7,7.8,6030
313,28.7,6.8,7.7,7207
314,27.2,6.8,8.1,167
315,27.2,6.8,8,173
316,27.2,7,8,168
317,28,6.9,7.9,131
318,26.2,7,7.6,125
319,26.2,7.2,7.5,132
320,28.2,7.2,7.7,119
321,24.5,6.9,7.5,159
322,24.5,6.7,7.7,141
323,24.5,7.3,7.7,132
324,24,6.4,7.3,76
325,24.9,6,7.1,85
326,24.3,6.3,7.1,69
327,24.8,6.5,7.3,76
328,26.4,6.7,6.6,60
329,27,7,6.6,3544
330,26.6,6.7,7.3,51
331,28.6,6.9,7.7,107
332,28.8,6.7,7.9,173
333,28,5.6,6.9,126
334,27.4,7.3,7.4,70
335,27.5,6.9,7.4,12754
336,26.8,7.1,7.4,80
337,30,7.2,6.9,62
338,28.8,3.4,6.7,2965
339,27.4,6.1,7.2,15871
340,24.8,6.4,7.2,120
341,23.6,6.2,7.2,7448
342,29.8,6.6,6.9,77
343,30.2,6.8,7,72
344,28.2,2.9,6.7,305
345,27.7,3,6.6,86
346,23.9,6.7,7.1,79
347,27.4,3.6,7.3,32790
348,27.8,6.1,7.8,2905
349,26.4,6.9,7.4,112
350,29.6,7,6.9,51
351,27,3.1,7.2,1416
352,26.3,7,7.1,30
353,30,6.1,7,59
354,28,6,6.4,61
355,30.1,6.3,7,105
356,27.9,6.9,8.1,502
357,27,5.9,6.7,14662
358,26,7.8,6.8,49
359,27.7,7.1,7.4,380
360,27.1,7.3,7.2,67
361,26.5,6.2,7.2,51
362,28.5,7.2,6.8,69
363,28.7,6.9,6.7,75
364,25.7,6.3,7.4,113
365,29.3,7.6,6.8,79
366,27,7,7.2,57
367,30.9,5.9,7,22576
368,27.1,6.8,7.2,105
369,30.3,6.3,6.7,2315
370,30.4,6.4,6.9,18569
371,26.2,6.6,7.3,45
372,26.2,6.9,7.2,42
373,25.1,6,7.3,92
374,27.4,6.1,7.2,59
375,28.1,4.5,6.9,1190
376,28.3,4.2,7,69
377,28.2,6,7,5569
378,27.2,7.3,7,34
379,27.4,6.3,7,44
380,28.2,6.4,7.2,49
381,27.9,5.9,7,3272
382,27.3,4.6,7,65
383,28.2,6.5,6.9,4650
384,28.2,6.5,7,42
385,26.7,6.4,6.4,45
386,28,6,6.1,56
387,29.7,5.3,6.8,99
388,28.2,3.6,6.5,22131
389,28.9,6.9,6.7,66
390,26.4,6,6.6,67
391,30,4.9,6.8,9107
392,30.8,6.3,7,18931
393,27.8,6.6,6.8,15525
394,26.7,7.1,7.5,46
395,27,6,7.3,432
396,26.8,6.1,7.7,328
397,19,5.8,7.8,707
398,21.4,6.1,8,674
399,27.1,7.3,7.3,164
400,26.3,7.6,7.4,122
401,28.3,6.5,7.1,95
402,27.9,6.5,7.1,56
403,23.4,7.5,7.8,237
